rank;country;cost index;avg monthly income (USD);purchasing power index;
1;Bermuda;157.6;9,712 USD;105.0;
2;Switzerland;142.4;7,530 USD;90.1;
3;Cayman Islands;137.9;5,281 USD;65.2;
4;Israel;130.2;4,130 USD;54.1;
5;Iceland;128.0;5,368 USD;71.5;
6;New Caledonia;125.8;1,101 USD;14.9;
7;Turks and Caicos Islands;124.6;1,967 USD;26.9;
8;Norway;124.6;7,008 USD;95.9;
9;Barbados;121.5;1,393 USD;19.5;
10;Denmark;119.9;5,676 USD;80.6;
11;Ireland;119.8;6,210 USD;88.3;
12;Australia;118.0;4,730 USD;68.3;
13;New Zealand;117.2;3,778 USD;54.9;
14;Luxembourg;113.1;6,759 USD;101.8;
15;Sweden;109.3;4,908 USD;76.5;
16;Finland;108.0;4,472 USD;70.6;
17;United Kingdom;107.9;3,782 USD;59.7;
18;Canada;105.6;4,026 USD;64.9;
19;Japan;101.9;3,552 USD;59.4;
20;United States;100.0;5,869 USD;100.0;
21;Netherlands;99.0;4,698 USD;80.8;
22;Belgium;97.0;4,209 USD;74.0;
23;France;96.2;3,657 USD;64.7;
24;Austria;95.9;4,351 USD;77.3;
25;Germany;92.3;4,253 USD;78.5;
26;South Korea;87.0;2,915 USD;57.1;
27;Italy;86.2;2,976 USD;58.8;
28;Spain;82.9;2,478 USD;50.9;
29;Hong Kong;77.9;4,538 USD;99.2;
30;Portugal;76.4;1,978 USD;44.1;
31;Singapore;75.0;5,334 USD;121.1;
32;Macao;75.0;3,894 USD;88.5;
33;Greece;74.7;1,678 USD;38.3;
34;United Arab Emirates;72.3;3,284 USD;77.3;
35;Qatar;71.4;4,760 USD;113.6;
36;Czechia;68.1;2,006 USD;50.2;
37;Iran;67.6;281 USD;7.1;
38;China;63.2;991 USD;26.7;
39;Chile;62.9;1,250 USD;33.8;
40;Croatia;60.8;1,429 USD;40.1;
41;Kuwait;60.3;3,017 USD;85.2;
42;Costa Rica;57.7;1,026 USD;30.3;
43;Hungary;57.3;1,478 USD;44.0;
44;Equatorial Guinea;55.9;484 USD;14.8;
45;Mexico;54.7;782 USD;24.4;
46;Albania;52.0;509 USD;16.7;
47;Ecuador;51.9;494 USD;16.2;
48;Serbia;51.2;703 USD;23.4;
49;Montenegro;51.2;775 USD;25.8;
50;Poland;51.1;1,389 USD;46.3;
51;Bahrain;49.0;1,661 USD;57.7;
52;Brunei;48.9;2,626 USD;91.4;
53;Bulgaria;47.5;893 USD;32.0;
54;Romania;47.4;1,181 USD;42.4;
55;South Africa;47.1;537 USD;19.4;
56;Brazil;46.9;643 USD;23.4;
57;Dominican Republic;45.8;685 USD;25.5;
58;Morocco;45.0;279 USD;10.6;
59;Jordan;45.0;373 USD;14.1;
60;Fiji;44.6;405 USD;15.5;
61;Saudi Arabia;44.5;1,856 USD;71.1;
62;North Macedonia;44.0;511 USD;19.8;
63;Mauritius;43.3;905 USD;35.6;
64;Senegal;42.7;128 USD;5.1;
65;Eswatini;42.7;307 USD;12.2;
66;Ivory Coast;42.7;204 USD;8.2;
67;Kenya;42.3;168 USD;6.7;
68;Cameroon;41.9;133 USD;5.4;
69;Timor-Leste;41.9;162 USD;6.6;
70;Colombia;41.9;513 USD;20.9;
71;Nigeria;41.8;175 USD;7.1;
72;Kosovo;41.0;414 USD;17.2;
73;Philippines;40.9;303 USD;12.6;
74;Bangladesh;39.0;218 USD;9.5;
75;Malaysia;38.8;911 USD;40.0;
76;Paraguay;38.6;445 USD;19.6;
77;Moldova;38.5;455 USD;20.1;
78;Thailand;38.4;605 USD;26.8;
79;Benin;37.5;114 USD;5.2;
80;Ghana;37.3;197 USD;9.0;
81;Russia;36.9;967 USD;44.7;
82;Iraq;36.8;420 USD;19.5;
83;Cambodia;36.6;129 USD;6.0;
84;Bolivia;36.2;280 USD;13.2;
85;Nicaragua;35.8;168 USD;8.0;
86;Indonesia;35.4;345 USD;16.6;
87;Mongolia;35.3;313 USD;15.1;
88;Suriname;35.0;370 USD;18.0;
89;Vietnam;34.4;297 USD;14.7;
90;Turkey;34.4;819 USD;40.6;
91;Armenia;33.8;380 USD;19.2;
92;Laos;33.5;210 USD;10.7;
93;Kazakhstan;33.1;727 USD;37.4;
94;Georgia;32.2;395 USD;20.9;
95;Tunisia;30.9;303 USD;16.7;
96;Sri Lanka;30.4;318 USD;17.8;
97;Bhutan;30.0;237 USD;13.4;
98;Ukraine;29.9;343 USD;19.6;
99;Algeria;29.9;305 USD;17.4;
100;Azerbaijan;29.8;407 USD;23.3;
101;India;28.8;181 USD;10.7;
102;Nepal;28.1;103 USD;6.2;
103;Egypt;27.2;293 USD;18.3;
104;Burma;27.0;95 USD;6.0;
105;Pakistan;25.8;125 USD;8.3;
106;Kyrgyzstan;25.3;98 USD;6.6;
107;Angola;23.0;148 USD;10.9;
108;Tajikistan;22.8;96 USD;7.2;
